detail	name	num_rel_ret	recall_5	recall_10	recall_15	recall_20	recall_50	recall_100	P_5	P_10	P_15	P_20	P_50	P_100	map	recip_rank	ndcg	mrt
control	BR(TF_IDF)	1938.0	0.16232979863062585	0.22058770697966507	0.2664753676084328	0.2991811669308594	0.4799293691828335	0.5971821814538054	0.47311827956989255	0.35913978494623655	0.3046594982078851	0.27311827956989254	0.18623655913978496	0.12634408602150535	0.29090543005529873	0.6991681416273214	0.6153667539666847	10.6611904088578
stm=n/a	BR(TF_IDF)	1733.0	0.12767596757706484	0.17735179080292637	0.21945219184524287	0.25382780482486966	0.36632628830335656	0.4800401927138038	0.3634408602150537	0.29032258064516137	0.25017921146953387	0.22903225806451621	0.1496774193548386	0.10129032258064516	0.21144940105844848	0.647222603554731	0.5216647547794168	9.937732075516294
stp=n/a	BR(TF_IDF)	1912.0	0.15368361313166207	0.22008081657771195	0.25938711228668104	0.30016425250969775	0.4508637137350791	0.5818549740960534	0.43225806451612914	0.35053763440860225	0.3017921146953403	0.2698924731182797	0.18150537634408606	0.12440860215053762	0.2763835305919949	0.6815609928230191	0.5982072436961349	12.02297446215325
tkn=whtspc	BR(TF_IDF)	1938.0	0.16232979863062585	0.22058770697966507	0.2664753676084328	0.2991811669308594	0.4799293691828335	0.5971821814538054	0.47311827956989255	0.35913978494623655	0.3046594982078851	0.27311827956989254	0.18623655913978496	0.12634408602150535	0.2909054662207448	0.6991681416273214	0.6153667951550165	10.317131269207444
stm=n/a, stp=n/a	BR(TF_IDF)	1727.0	0.12075839527031806	0.16942260128659	0.2033158739712436	0.23538856729720875	0.3672168554831155	0.4580338828174135	0.35268817204301056	0.278494623655914	0.23584229390680986	0.21612903225806457	0.14860215053763434	0.09967741935483869	0.2074539300054522	0.6462194418978784	0.5161753975569265	12.281078408392126
stm=n/a, tkn=whtspc	BR(TF_IDF)	1733.0	0.12767596757706484	0.17735179080292637	0.21945219184524287	0.25382780482486966	0.36632628830335656	0.4800401927138038	0.3634408602150537	0.29032258064516137	0.25017921146953387	0.22903225806451621	0.1496774193548386	0.10129032258064516	0.21144942367014263	0.647222603554731	0.5216648105018118	10.003544806417638
stp=n/a, tkn=whtspc	BR(TF_IDF)	1912.0	0.15368361313166207	0.22008081657771195	0.25938711228668104	0.30016425250969775	0.4508637137350791	0.5818549740960534	0.43225806451612914	0.35053763440860225	0.3017921146953403	0.2698924731182797	0.18150537634408606	0.12440860215053762	0.2763835305919949	0.6815609928230191	0.5982072436961349	12.022539881879203
stm=n/a, stp=n/a, tkn=whtspc	BR(TF_IDF)	1727.0	0.12075839527031806	0.16942260128659	0.2033158739712436	0.23538856729720875	0.3672168554831155	0.4580338828174135	0.35268817204301056	0.278494623655914	0.23584229390680986	0.21612903225806457	0.14860215053763434	0.09967741935483869	0.2074539300054522	0.6462194418978784	0.5161753975569265	12.034482978564757
