detail	name	num_rel_ret	recall_5	recall_10	recall_15	recall_20	recall_50	recall_100	P_5	P_10	P_15	P_20	P_50	P_100	map	recip_rank	ndcg	mrt
control	BR(Tf)	1879.0	0.06648948412485563	0.11442684938449521	0.15529389445829295	0.17710957392729126	0.3052112412980947	0.42563175688148946	0.21075268817204287	0.19462365591397834	0.17204301075268807	0.15376344086021507	0.12193548387096764	0.08989247311827957	0.13736006880329302	0.42685883369521505	0.4635218919994508	10.528491935767834
stm=n/a	BR(Tf)	1708.0	0.07148635059711964	0.11066403740197704	0.13381646936734823	0.15556489089279346	0.24616652651645052	0.35275961960818497	0.2258064516129031	0.19032258064516128	0.16559139784946228	0.1510752688172044	0.10666666666666658	0.07946236559139781	0.12820619632953448	0.43120815417794733	0.42732855197586694	9.800154118052614
stp=n/a	BR(Tf)	956.0	0.006956456331288475	0.014412821952808822	0.021253490158140872	0.027088191685600234	0.06060746198227021	0.12272898706458511	0.04516129032258065	0.04086021505376345	0.04086021505376345	0.03924731182795699	0.03204301075268818	0.028279569892473114	0.02447739416108317	0.10503913070144272	0.17470447952038776	11.92455151636574
tkn=whtspc	BR(Tf)	1879.0	0.06648948412485563	0.11442684938449521	0.15529389445829295	0.17710957392729126	0.3052112412980947	0.42563175688148946	0.21075268817204287	0.19462365591397834	0.17204301075268807	0.15376344086021507	0.12193548387096764	0.08989247311827957	0.13736006880329302	0.42685883369521505	0.4635218919994508	10.235529570084225
stm=n/a, stp=n/a	BR(Tf)	829.0	0.004450283885767758	0.00976002113695707	0.015459961877220391	0.019361989677756854	0.05635022491439529	0.09307429193992325	0.03225806451612904	0.03118279569892473	0.030824372759856642	0.029569892473118274	0.026451612903225816	0.02225806451612904	0.019372264789456684	0.0977509089378133	0.1486846425796301	11.87706048417616
stm=n/a, tkn=whtspc	BR(Tf)	1708.0	0.07148635059711964	0.11066403740197704	0.13381646936734823	0.15556489089279346	0.24616652651645052	0.35275961960818497	0.2258064516129031	0.19032258064516128	0.16559139784946228	0.1510752688172044	0.10666666666666658	0.07946236559139781	0.12820619632953448	0.43120815417794733	0.42732855197586694	9.89126612842884
stp=n/a, tkn=whtspc	BR(Tf)	956.0	0.006956456331288475	0.014412821952808822	0.021253490158140872	0.027088191685600234	0.06060746198227021	0.12272898706458511	0.04516129032258065	0.04086021505376345	0.04086021505376345	0.03924731182795699	0.03204301075268818	0.028279569892473114	0.02447739416108317	0.10503913070144272	0.17470447952038776	12.613129483470793
stm=n/a, stp=n/a, tkn=whtspc	BR(Tf)	829.0	0.004450283885767758	0.00976002113695707	0.015459961877220391	0.019361989677756854	0.05635022491439529	0.09307429193992325	0.03225806451612904	0.03118279569892473	0.030824372759856642	0.029569892473118274	0.026451612903225816	0.02225806451612904	0.019372264789456684	0.0977509089378133	0.1486846425796301	13.55954749454614
