detail	name	num_rel_ret	recall_5	recall_10	recall_15	recall_20	recall_50	recall_100	P_5	P_10	P_15	P_20	P_50	P_100	map	recip_rank	ndcg	mrt
control	BR(BM25)	1937.0	0.162592076285961	0.21851346261414942	0.2601957115875386	0.30013596195581693	0.47572141280260394	0.5990464206323914	0.46021505376344096	0.35268817204301073	0.3025089605734765	0.2698924731182797	0.1853763440860215	0.12666666666666668	0.296517205483994	0.7256645458609594	0.6211967297435284	14.596694892632865
stm=n/a	BR(BM25)	1726.0	0.12753781549925758	0.1799354855711562	0.22020884732615673	0.25399943682212106	0.3638037596128331	0.4767163241756573	0.3612903225806451	0.29247311827956995	0.25161290322580626	0.2290322580645162	0.1492473118279569	0.10086021505376343	0.21887738503471577	0.6526911004950129	0.5260482715671518	10.774435032339346
stp=n/a	BR(BM25)	1746.0	0.11482950774817641	0.16167229562700494	0.20334779273145207	0.22909550058955336	0.36001007837975846	0.4797772667287918	0.30322580645161284	0.25913978494623663	0.23225806451612896	0.2000000000000001	0.1387096774193548	0.0980645161290323	0.19499797213578574	0.5563582870134749	0.5000000976393058	12.435607085760523
tkn=whtspc	BR(BM25)	1937.0	0.162592076285961	0.21851346261414942	0.2601957115875386	0.30013596195581693	0.47572141280260394	0.5990464206323914	0.46021505376344096	0.35268817204301073	0.3025089605734765	0.2698924731182797	0.1853763440860215	0.12666666666666668	0.296517205483994	0.7256645458609594	0.6211967297435284	10.484556451575049
stm=n/a, stp=n/a	BR(BM25)	1538.0	0.0862178590763304	0.1265333598601096	0.15841743723069232	0.18086906337064762	0.28258725628795117	0.3629684906890678	0.2365591397849462	0.19569892473118278	0.18279569892473108	0.16344086021505377	0.1126881720430107	0.07634408602150533	0.14347096053697006	0.516597346086682	0.42098529670677975	12.006853494332523
stm=n/a, tkn=whtspc	BR(BM25)	1726.0	0.12753781549925758	0.1799354855711562	0.22020884732615673	0.25399943682212106	0.3638037596128331	0.4767163241756573	0.3612903225806451	0.29247311827956995	0.25161290322580626	0.2290322580645162	0.1492473118279569	0.10086021505376343	0.21887738503471577	0.6526911004950129	0.5260482715671518	10.190949376587385
stp=n/a, tkn=whtspc	BR(BM25)	1746.0	0.11482950774817641	0.16167229562700494	0.20334779273145207	0.22909550058955336	0.36001007837975846	0.4797772667287918	0.30322580645161284	0.25913978494623663	0.23225806451612896	0.2000000000000001	0.1387096774193548	0.0980645161290323	0.19499800859783717	0.5563582870134749	0.5000002099960559	11.913194451906708
stm=n/a, stp=n/a, tkn=whtspc	BR(BM25)	1538.0	0.0862178590763304	0.1265333598601096	0.15841743723069232	0.18086906337064762	0.28258725628795117	0.3629684906890678	0.2365591397849462	0.19569892473118278	0.18279569892473108	0.16344086021505377	0.1126881720430107	0.07634408602150533	0.14347203291482397	0.516597346086682	0.42098602751795633	12.065173387126897
